"Date","Price","Open","High","Low","Change %"
"07/15/2025","4.3866","4.3730","4.3890","4.3267","0.36%"
"07/14/2025","4.3710","4.3746","4.3920","4.3384","0.64%"
"07/11/2025","4.3431","4.2849","4.3710","4.3117","1.36%"
"07/10/2025","4.2849","4.2724","4.3060","4.2568","0.26%"
"07/09/2025","4.2740","4.2694","4.3540","4.2689","-1.27%"
"07/08/2025","4.3289","4.3316","4.3670","4.3020","0.28%"
"07/07/2025","4.3170","4.3125","4.3360","4.2510","1.13%"
"07/03/2025","4.2686","4.2034","4.2840","4.1760","1.54%"
"07/02/2025","4.2039","4.2123","4.2480","4.1637","0.97%"
"07/01/2025","4.1637","4.1607","4.2140","4.1232","-0.05%"
"06/30/2025","4.1656","4.1626","4.2370","4.1626","-1.07%"
"06/27/2025","4.2106","4.1697","4.2400","4.1672","0.97%"
"06/26/2025","4.1701","4.1712","4.2230","4.1584","-0.64%"
"06/25/2025","4.1970","4.1964","4.2490","4.1776","0.03%"
"06/24/2025","4.1958","4.1999","4.2950","4.1849","-1.48%"
"06/23/2025","4.2590","4.2457","4.3061","4.2003","-0.33%"
"06/20/2025","4.2729","4.2761","4.3330","4.2520","-0.10%"
"06/19/2025","4.2770","4.2820","4.2832","4.2720","-0.14%"
"06/18/2025","4.2832","4.2851","4.3150","4.2380","0.00%"
"06/17/2025","4.2830","4.2733","4.3670","4.2703","-1.32%"
"06/16/2025","4.3404","4.3465","4.3720","4.2830","1.27%"
"06/13/2025","4.2861","4.2242","4.3480","4.2182","0.90%"
"06/12/2025","4.2477","4.2622","4.3280","4.2462","-1.88%"
"06/11/2025","4.3290","4.3320","4.3880","4.3064","-0.29%"
"06/10/2025","4.3415","4.3431","4.3710","4.3149","-0.33%"
"06/09/2025","4.3560","4.3533","4.4020","4.3380","-0.56%"
"06/06/2025","4.3805","4.3017","4.3805","4.2680","1.79%"
"06/05/2025","4.3036","4.3017","4.3130","4.2340","0.34%"
"06/04/2025","4.2891","4.2885","4.3810","4.2722","-1.61%"
"06/03/2025","4.3592","4.3737","4.3810","4.3000","0.31%"
"06/02/2025","4.3456","4.3363","4.3810","4.3190","0.84%"
"05/30/2025","4.3096","4.2973","4.3250","4.2760","0.34%"
"05/29/2025","4.2948","4.2923","4.4010","4.2834","-1.63%"
"05/28/2025","4.3660","4.3436","4.3770","4.2997","1.10%"
"05/27/2025","4.3183","4.3194","4.3860","4.2895","-1.31%"
"05/26/2025","4.3755","4.3900","4.3900","4.3734","-0.11%"
"05/23/2025","4.3803","4.4167","4.4230","4.3307","-0.81%"
"05/22/2025","4.4160","4.4114","4.4917","4.3983","-0.88%"
"05/21/2025","4.4550","4.4476","4.4640","4.3410","2.40%"
"05/20/2025","4.3505","4.3598","4.3860","4.2767","1.32%"
"05/19/2025","4.2940","4.2935","4.4250","4.2853","-0.88%"
"05/16/2025","4.3320","4.3060","4.3650","4.2548","0.56%"
"05/15/2025","4.3080","4.2963","4.4150","4.2912","-1.69%"
"05/14/2025","4.3822","4.3760","4.3920","4.3010","1.25%"
"05/13/2025","4.3280","4.3165","4.3710","4.2978","0.08%"
"05/12/2025","4.3245","4.3300","4.3440","4.2418","1.72%"
"05/09/2025","4.2513","4.2515","4.2790","4.2110","0.20%"
"05/08/2025","4.2428","4.2515","4.2640","4.1560","1.82%"
"05/07/2025","4.1669","4.1618","4.1876","4.1145","-0.48%"
"05/06/2025","4.1870","4.1708","4.2503","4.1625","-0.69%"
"05/05/2025","4.2160","4.1750","4.2330","4.1616","1.30%"
"05/02/2025","4.1619","4.1151","4.1830","4.0800","1.31%"
"05/01/2025","4.1080","4.1151","4.1340","4.0344","0.29%"
"04/30/2025","4.0960","4.0739","4.1260","4.0199","1.04%"
"04/29/2025","4.0540","4.0693","4.1360","4.0461","-0.92%"
"04/28/2025","4.0918","4.0918","4.1760","4.0889","-0.41%"
"04/25/2025","4.1085","4.1926","4.2021","4.0983","-1.93%"
"04/24/2025","4.1895","4.1876","4.2200","4.1677","-0.40%"
"04/23/2025","4.2065","4.2146","4.2390","4.1072","0.89%"
"04/22/2025","4.1695","4.2215","4.2650","4.1674","-1.62%"
"04/21/2025","4.2380","4.2394","4.2640","4.1850","1.31%"
"04/17/2025","4.1830","4.1222","4.2150","4.1069","1.33%"
"04/16/2025","4.1282","4.1222","4.2000","4.1168","-1.03%"
"04/15/2025","4.1711","4.1585","4.2610","4.1430","-0.95%"
"04/14/2025","4.2112","4.2203","4.2750","4.1799","-0.74%"
"04/11/2025","4.2428","4.2067","4.3540","4.1410","-0.38%"
"04/10/2025","4.2588","4.2067","4.2609","4.0398","3.69%"
"04/09/2025","4.1073","4.0644","4.3185","4.0877","0.61%"
"04/08/2025","4.0825","4.0644","4.0900","3.9288","2.08%"
"04/07/2025","3.9992","3.9857","4.0540","3.7530","3.96%"
"04/04/2025","3.8469","3.9334","3.9395","3.7580","-2.12%"
"04/03/2025","3.9302","3.9334","3.9636","3.8928","0.47%"
"04/02/2025","3.9118","3.9698","4.0825","3.9118","-3.33%"
"04/01/2025","4.0466","4.0210","4.0540","3.9872","-0.35%"
"03/31/2025","4.0610","4.0482","4.1040","4.0309","-1.17%"
"03/28/2025","4.1090","4.2046","4.2080","4.0974","-2.28%"
"03/27/2025","4.2050","4.1790","4.2300","4.1595","0.97%"
"03/26/2025","4.1644","4.1790","4.1910","4.1428","0.40%"
"03/25/2025","4.1480","4.1554","4.1940","4.1296","-0.10%"
"03/24/2025","4.1520","4.0931","4.1680","4.0868","1.56%"
"03/21/2025","4.0882","4.0697","4.1100","4.0286","0.53%"
"03/20/2025","4.0668","4.0697","4.0870","4.0160","-0.74%"
"03/19/2025","4.0970","4.1217","4.1744","4.0670","-0.31%"
"03/18/2025","4.1097","4.1280","4.1760","4.0992","-0.42%"
"03/17/2025","4.1270","4.1280","4.1470","4.0800","-0.24%"
"03/14/2025","4.1368","4.1102","4.1700","4.1040","0.77%"
"03/13/2025","4.1050","4.1292","4.1780","4.0858","-0.80%"
"03/12/2025","4.1379","4.1292","4.1584","3.9273","1.35%"
"03/11/2025","4.0826","4.0860","4.1020","3.9745","1.77%"
"03/10/2025","4.0117","4.0250","4.0900","4.0046","-1.62%"
"03/07/2025","4.0776","4.0910","4.1190","4.0099","0.20%"
"03/06/2025","4.0694","4.0707","4.1280","4.0400","0.16%"
"03/05/2025","4.0630","4.0340","4.0920","3.9826","1.47%"
"03/04/2025","4.0040","3.9546","4.0210","3.9180","0.88%"
"03/03/2025","3.9690","3.9993","4.0590","3.9481","-1.13%"
"02/28/2025","4.0142","4.0516","4.0802","3.9734","-1.37%"
"02/27/2025","4.0700","4.0314","4.0860","4.0295","1.09%"
"02/26/2025","4.0260","4.0750","4.1120","4.0186","-1.22%"
"02/25/2025","4.0757","4.1878","4.1970","4.0533","-2.50%"
"02/24/2025","4.1800","4.2029","4.2410","4.1730","-0.52%"
"02/21/2025","4.2020","4.2865","4.2960","4.1821","-1.88%"
"02/20/2025","4.2823","4.3238","4.3320","4.2729","-1.01%"
"02/19/2025","4.3260","4.3110","4.3432","4.2815","0.49%"
"02/18/2025","4.3049","4.2527","4.3280","4.2527","1.29%"
"02/17/2025","4.2502","4.2527","4.2759","4.2527","0.00%"
"02/14/2025","4.2502","4.3097","4.3400","4.2371","-1.16%"
"02/13/2025","4.3001","4.3791","4.3910","4.2843","-1.87%"
"02/12/2025","4.3822","4.2668","4.3950","4.2358","2.74%"
"02/11/2025","4.2653","4.2203","4.2730","4.2164","1.04%"
"02/10/2025","4.2214","4.2066","4.2350","4.1834","0.34%"
"02/07/2025","4.2071","4.1341","4.2260","4.0756","1.42%"
"02/06/2025","4.1482","4.1168","4.1936","4.1050","1.08%"
"02/05/2025","4.1040","4.1955","4.2150","4.0817","-2.29%"
"02/04/2025","4.2000","4.2380","4.2860","4.1899","-0.42%"
"02/03/2025","4.2179","4.2203","4.2470","4.1440","-1.12%"
"01/31/2025","4.2656","4.2170","4.2890","4.2032","1.28%"
"01/30/2025","4.2118","4.2230","4.2430","4.1756","-0.49%"
"01/29/2025","4.2324","4.2250","4.2640","4.1902","-0.09%"
"01/28/2025","4.2362","4.2135","4.2630","4.2125","0.57%"
"01/27/2025","4.2120","4.2888","4.2888","4.1853","-1.83%"
"01/24/2025","4.2904","4.3060","4.3350","4.2764","-0.50%"
"01/23/2025","4.3120","4.2738","4.3400","4.2590","1.14%"
"01/22/2025","4.2635","4.2640","4.2850","4.2317","0.18%"
"01/21/2025","4.2558","4.3231","4.3231","4.2288","-1.00%"
"01/20/2025","4.2987","4.3231","4.3231","4.2647","0.00%"
"01/17/2025","4.2987","4.3053","4.3180","4.2601","0.04%"
"01/16/2025","4.2970","4.3207","4.3600","4.2737","-0.66%"
"01/15/2025","4.3254","4.4127","4.4355","4.2973","-2.18%"
"01/14/2025","4.4218","4.3891","4.4400","4.3604","0.21%"
"01/13/2025","4.4126","4.3617","4.4220","4.3511","0.68%"
"01/10/2025","4.3830","4.3541","4.4248","4.3240","0.66%"
"01/09/2025","4.3541","4.3540","4.3710","4.3025","-0.10%"
"01/08/2025","4.3583","4.3493","4.3950","4.3240","0.31%"
"01/07/2025","4.3447","4.2799","4.3730","4.2490","1.68%"
"01/06/2025","4.2730","4.2296","4.2910","4.2106","1.06%"
"01/03/2025","4.2281","4.1999","4.2410","4.1705","0.26%"
"01/02/2025","4.2170","4.1988","4.2360","4.1475","0.43%"
"01/01/2025","4.1988","4.1988","4.1988","4.1988","0.00%"
"12/31/2024","4.1988","4.1777","4.2190","4.1439","0.05%"
"12/30/2024","4.1967","4.2456","4.2660","4.1840","-1.21%"
"12/27/2024","4.2480","4.2090","4.2600","4.1900","1.22%"
"12/26/2024","4.1970","4.1893","4.2530","4.1875","0.18%"
"12/25/2024","4.1893","4.1893","4.1975","4.1893","0.00%"
"12/24/2024","4.1893","4.2046","4.2480","4.1827","-0.52%"
"12/23/2024","4.2112","4.1349","4.2220","4.1319","1.82%"
"12/20/2024","4.1360","4.1580","4.1780","4.0948","-0.60%"
"12/19/2024","4.1610","4.1150","4.1990","4.0949","1.50%"
"12/18/2024","4.0994","4.0262","4.1024","4.0072","2.03%"
"12/17/2024","4.0179","4.0355","4.0720","4.0038","-0.62%"
"12/16/2024","4.0429","4.0209","4.0640","4.0024","0.07%"
"12/13/2024","4.0400","3.9910","4.0500","3.9719","1.33%"
"12/12/2024","3.9869","3.9265","3.9990","3.9208","1.61%"
"12/11/2024","3.9236","3.8658","3.9300","3.8510","1.69%"
"12/10/2024","3.8583","3.8459","3.8950","3.8329","0.24%"
"12/09/2024","3.8490","3.8163","3.8530","3.7910","1.23%"
"12/06/2024","3.8021","3.8120","3.8308","3.7795","-0.30%"
"12/05/2024","3.8134","3.8250","3.8600","3.8050","-0.27%"
"12/04/2024","3.8236","3.8757","3.9250","3.8180","-1.04%"
"12/03/2024","3.8636","3.8425","3.8900","3.8194","-0.31%"
"12/02/2024","3.8755","3.8376","3.8960","3.8185","-0.53%"
"11/29/2024","3.8962","3.9028","3.9140","3.8280","0.00%"
"11/28/2024","3.8962","3.9000","3.9140","3.8980","0.00%"
"11/27/2024","3.8962","3.9412","3.9620","3.8732","-1.26%"
"11/26/2024","3.9460","3.9200","3.9620","3.9054","1.05%"
